Date,OIL,GOLD,USDIDR,SP500,IHSG,VIX,CPI,BI_rate,US_rate
2014-01-21,94.98999786376953,1242.300048828125,11897.0,1843.800048828125,4452.326171875,12.869999885559082,6.39492882396559,7.5,0.07
2014-01-22,96.7300033569336,1239.0,12038.0,1844.8599853515625,4477.314453125,12.84000015258789,6.39492882396559,7.5,0.07
2014-01-23,97.31999969482422,1262.5999755859375,12052.0,1828.4599609375,4495.86669921875,13.770000457763672,6.39492882396559,7.5,0.07
2014-01-24,96.63999938964844,1264.5,12093.0,1790.2900390625,4437.169921875,18.139999389648438,6.39492882396559,7.5,0.07
2014-01-27,95.72000122070312,1263.5999755859375,12127.0,1781.56005859375,4322.611328125,17.420000076293945,6.39492882396559,7.5,0.07
2014-01-28,97.41000366210938,1251.0,12197.0,1792.5,4341.48193359375,15.800000190734863,6.39492882396559,7.5,0.07
2014-01-29,97.36000061035156,1262.199951171875,12093.0,1774.199951171875,4417.1767578125,17.350000381469727,6.39492882396559,7.5,0.07
2014-01-30,98.2300033569336,1242.199951171875,12145.0,1794.18994140625,4418.58447265625,17.290000915527344,6.39492882396559,7.5,0.07
2014-01-31,97.48999786376953,1240.0999755859375,12143.0,1782.5899658203125,4418.58447265625,18.40999984741211,6.39492882396559,7.5,0.07
2014-02-03,96.43000030517578,1260.4000244140625,12150.0,1741.8900146484375,4386.087890625,21.440000534057617,6.39492882396559,7.5,0.07
2014-02-04,97.19000244140625,1251.699951171875,12083.0,1755.199951171875,4352.08642578125,19.110000610351562,6.39492882396559,7.5,0.07
2014-02-05,97.37999725341797,1257.300048828125,11981.0,1751.6400146484375,4384.13916015625,19.950000762939453,6.39492882396559,7.5,0.07
2014-02-06,97.83999633789062,1257.5999755859375,12020.0,1773.4300537109375,4424.53662109375,17.229999542236328,6.39492882396559,7.5,0.07
2014-02-07,99.87999725341797,1263.300048828125,11940.0,1797.02001953125,4466.49072265625,15.289999961853027,6.39492882396559,7.5,0.07
2014-02-10,100.05999755859375,1274.800048828125,12001.0,1799.8399658203125,4450.5751953125,15.260000228881836,6.39492882396559,7.5,0.07
2014-02-11,99.94000244140625,1290.0999755859375,12026.0,1819.75,4470.015625,14.510000228881836,6.39492882396559,7.5,0.07
2014-02-12,100.37000274658203,1295.300048828125,11946.0,1819.260009765625,4496.11083984375,14.300000190734863,6.39492882396559,7.5,0.07
2014-02-13,100.3499984741211,1300.4000244140625,11931.0,1829.8299560546875,4491.48486328125,14.140000343322754,6.39492882396559,7.5,0.07
2014-02-14,100.30000305175781,1319.0,11876.0,1838.6300048828125,4507.86865234375,13.569999694824219,6.39492882396559,7.5,0.07
